"Name"
"Okosun, Ayo Simon"
"Okotcha, Josh"
"Okotie, Rubin"
"Okowonko, Patrick"
"Okoye, Anthony"
"Okoye, John"
"Okoye, Maduka"
"Okoye, Samuel"
"Okpotu, Tony"
"Okubuyejo, Leon"
"Okunaiya, Orman"
"Okunorobo, Richard"
"Okuonghae, Magnus"
"Okwonkwo, Orji"
"Okwuosa, James"
"Olabisi, Samuel"
"Oladipo, Destiny"
"Oladipupo, Wassiou"
"Olagunju, Mustapha"
"Olaitan, Michael"
"Olaleye, Samson Kayode"
"Olanare, Aaron"
"Olaniyi, Daniel"
"Olatubosun, Josh"
"Olatuga, Ojembe"
"Olatunji"
"Olatunji, Victor"
"Olayinka, James"
"Olayinka, Peter"
"Olie, Kingsley"
"Oliseh, Henry"
"Oliseh, Paul"
"Oliseh, Timothy"
"Oliseh, Tosin"
"Oliyide, Karl"
"Olomola, Olufela"
"Oloriegbe, Alex"
"Olosunde, Matt"
"Olowu, Joseph"
"Olufunwa, Oludare"
"Olumide, Joseph"
"Olusanya, Anthony"
"Oluwafemi, Ayo"
"Oluwayemi, Joshua"
"Omeje, Chidi"
"Omeruo, Junior"
"Omeruo, Kenneth"
"Omeruo, Nnamdi"
"Omo, Suleyman"
"Omochere, Promise"
"Omoh, Michael"
"Omoigui, Cedric"
"Omoijuanfo, Michael"
"Omoijuanfo, Ohi"
"Omolabi, Moroyin"
"Omolade, Ajibade"
"Omole, Tobi"
"Omoregie, Sunny"
"Omoregie, Tennyson"
"Omoruyi, Dennis"
"Omotayo, Gold"
"Omozusi, Elliot"
"Onariase, Emmanuel"
"Onazi, Ogenyi"
"Onduku, Gomo"
"Onisiwo, Karim"
"Onoabhagbe, Martin"
"Onomah, Joshua"
"Ononogbu, Nkosinathi"
"Onovo, David"
"Onovo, Vincent"
"Onuachu, Paul"
"Onugha, German"
"Onuoha, Nedum"
"Onuoha, Ogbonna"
"Onuoha, Randy"
"Onwu, Manu"
"Onwubiko, Emeka"
"Onwuzurumba, Okenna"
"Onyeaghala, Patrick"
"Onyedinma, Fred"
"Onyeka"
"Onyeka, Frank"
"Onyeka, Tyreece"
"Onyekachi, Peter"
"Onyekachi, Qudus"
"Onyekuru, Henry"
"Onyema, Elvis"
"Onyema, Ikechukwu"
"Onyemaechi, Bruno"
"Onyeukwu, Kingsley"
"Onyilo, Ernest"
"Onyilo, Ifeanyi"
"Oparaugo, Emeka"
"Orieke, Godwin"
"Orishani, Felix"
"Orji, Penn"
"Orkuma, Moses"
"Orode, Felix"
"Osadebe, Emmanuel"
"Osadolar, Smart"
"Osagie, Monday"
"Osaguona, Christian"
"Osasuyi, Wemimo"
"Osawe, Osayamen"
"Osayi-Samuel, Bright"
"Osede, Derik"
"Oseni, Andrew"
"Oseni, Ganiyu"
"Oseni, Nathaniel"
"Oseni, Waheed"
"Oshilaja, Deji"
"Osho, Gabriel"
"Osigwe, Sebastian"
"Osikel, Joel"
"Osimhen, Victor"
"Osobe, Sami"
"Ossai, Tariq"
"Ossai, Uche"
"Osu, KJ"
"Osuchukwu, Chidi"
"Osuji, Bede"
"Otaru, Nicholas"
"Otasowie, Owen"
"Oteh, Aramide"
"Otigba, Kenny"
"Otofe, Lucky Paul"
"Otubanjo, Yusuf"
"Otudeko, Kunle"
"Oviemuno, Prince"
"Owoeri, John"
"Owolabi, Samuel"
"Oyedele, Adekunle Abdullahi"
"Oyewale, Suleman"
"Oyewole, Adesoye"
"Ozokwo, Nduka"
"Parapara, Frank"
"Payne, Stephen"
"Peter, Israel Akpan"
"Peter, Nsima"
"Phillips, Lewis"
"Pius, Junior"
"Pius, Nelson"
"Popo, Tosan"
"Prince"
"Promise, Mohammed"
"Rabiu, Ibrahim"
"Rasaq, Bello"
"Rasheed, Godwin"
"Rasheed, Jonathan"
"Rasheed, Kenneth"
"Roberts, Haydon"
"Robson-Kanu, Hal"
"Romero, Moises"
"Rotimi, Sunday"
"Runsewe, Adeola"
"Sadiq, Umar"
"Saka, Bukayo"
"Sakibo, Koko"
"Salami, Adigun"
"Salami, Eugene"
"Salami, Gbolahan"
"Sale, Usman"
"Sam, Borbor"
"Sam, Sidney"
"Sam, Steve"
"Samson"
"Samson, Louis"
"Samuel Kalu"
"Samuel, Monday"
"Samuel, Victor"
"Sani"
"Sanusi, Ryan"
"Sanusi, Zaidu"
"Sapara, Adewale"
