"Name"
"Gonzalez, Lorenzo"
"Gorter, Donny"
"Graf, Mael"
"Graf, Marvin"
"Graf, Mirco"
"Grammel, Max"
"Grether, Simon"
"Greub, Damien"
"Grgic, Anto"
"Grippo, Simone"
"Grober, Marc"
"Grolimund, Edvin"
"Grosjean, Jeffrey"
"Gross, Lucien"
"Grossenbacher, Ludovic"
"Grossenbacher, Roman"
"Grossrieder, Jonathan"
"Grujicic, Bojan"
"Grunenfelder, Rafael"
"Gschwend, Edouard"
"Guarino, Salvatore"
"Guberac, Denis"
"Gubinelli, Leonardo"
"Gubser, Robin"
"Gudit, Florian"
"Guedes, Christophe"
"Guerchadi, Yanick"
"Guidotti, Stefano"
"Guilherme Afonso"
"Guillemenot, Jeremy"
"Guillot, Damien"
"Gulen, Levent"
"Gulunay, Eric"
"Guntensperger, Roman"
"Gunter, Kevin"
"Gurrieri, Andres"
"Gutierrez, Luis Alfredo"
"Haas, Nicolas"
"Hadergjonaj, Florent"
"Hadorn, Andri"
"Hadzi, Merlin"
"Haefeli, Manuel"
"Haile-Selassie, Kedus"
"Haile-Selassie, Maren"
"Hajrizi, Kreshnik"
"Hajrovic, Izet"
"Hajrovic, Sead"
"Haliti, Berat"
"Haliti, Granit"
"Hammel, Justin"
"Hammerich, Mats"
"Hanggi, Michael"
"Hanzi, Simon"
"Hartmann, Jan"
"Hasanaj, Fisnik"
"Hasanovic, Edin"
"Hassani, Juma"
"Hauenstein, Charles"
"Hauswirth, Maik"
"Haxhijaj, Arbnor"
"Hayoz, Valentin"
"Haziri, Naim"
"Hebib, Zlatko"
"Hediger, Dennis"
"Hediger, Kevin"
"Hefti, Nias"
"Hefti, Silvan"
"Heim, Calvin"
"Helbling, Yannick"
"Henchoz, Dennis"
"Henneuse, Julien"
"Henrique"
"Henry, Logan"
"Henzi, Alejandro"
"Hepperle, Hansruedi"
"Herensperger, Ricardo"
"Herger, Roman"
"Heric, Kenan"
"Herlea, Andrei"
"Hermann, Roman"
"Herter, Giuseppe"
"Herter, Nicolas"
"Heuscher, Reto"
"Hilzinger, Claudio"
"Hirzel, Andreas"
"Hischier, Moritz"
"Hitz, Marwin"
"Hobi, Thomas"
"Hochstrasser, Xavier"
"Hochuli, Yanick"
"Hodzic, Anel"
"Hofer, Alec"
"Hofer, Jens"
"Hofer, Yanick"
"Hofstettler, Eugenio"
"Holcbecher, Mathis"
"Holenstein, Claudio"
"Hornung, Felix"
"Hossmann, Gianluca"
"Hoxha, Florian"
"Hoxha, Rrezart"
"Hubacher, Markus"
"Huber, Nicolas"
"Huber, Pascal"
"Huber, Raphael"
"Huber, Samuel"
"Hubert, Kevin"
"Hug, Jonas"
