"Name"
"Carlos, Luis"
"Carlos, Vitor"
"Carloto, Ricardo"
"Carmelo, Goncalo"
"Carmezim, Bernardo"
"Carminho, Joao"
"Carminho, Pedro"
"Carmo, David"
"Carmo, Fernando"
"Carmona, Joao"
"Carneiro Ferreira, Alexandre"
"Carneiro, Basilio"
"Carneiro, Carlos"
"Carneiro, Carlos"
"Carneiro, Diogo"
"Carneiro, Eduardo"
"Carneiro, Fabiano"
"Carneiro, Joao"
"Carneiro, Josue"
"Carneiro, Pedro"
"Carneiro, Pedro"
"Carneiro, Tiago"
"Carneiro, Tiago"
"Carneiro, Tiago"
"Carneiro, Vitor"
"Carocha, Fabio"
"Carraca"
"Carrapico, Diogo"
"Carrasco, Bruno"
"Carrasco, Diogo"
"Carrasco, Yannick"
"Carrega, Diogo"
"Carreira"
"Carreira, Denil"
"Carreira, Fernando"
"Carreira, Octavio"
"Carreira, Octavio"
"Carreira, Ricardo"
"Carreiro, Jose"
"Carrelha, Hugo"
"Carrera, Alvaro"
"Carrera, Antonio"
"Carrico, Daniel"
"Carrico, Sergio"
"Carrilho, Gilberto"
"Carrilho, Hugo"
"Carrilho, Luis"
"Carrilho, Romeu"
"Carrupt, Abdul"
"Carrusca, Marcelo"
"Cartaxo, Andre"
"Cartaxo, Diogo"
"Cartaxo, Joao"
"Cartaxo, Joao"
"Cartaxo, Jose Carlos"
"Cartaxo, Pedro"
"Cartaxo, Rui"
"Cartucho, Luis"
"Carujo, Andre"
"Carvalha, Diogo"
"Carvalhal, Pedro"
"Carvalhal, Ruben"
