"Name"
"A. Jason"
"A. Namathevan"
"A. Pavithran"
"A. Peter Das"
"A. Puvanarajah"
"A. Rameig"
"A. Salamon Raj"
"A. Segar"
"A. Shivan Pillay"
"A. Siva Kumar"
"A. Thamil Arasu"
"A. Venothnaidoo"
"Aaravin, R."
"Azman, Mohd Rizqi"
"Azman, Muhd Afif Sufyan"
"Azman, Muhd Amirul"
"Azman, Muhd Hadin"
"Azman, Muhd Khairil Hairul"
"Azman, Muhd Shafiq"
"Azman, Muhd Syukri"
"Azman, Naufal"
"Azman, Nurizam"
"Azmari, Amir Asyraf"
"Azmey, Muhd Syafiq"
"Azmi, Adam Addruse"
"Azmi, Akmal"
"Azmi, Amir"
"Azmi, Azi Shahril"
"Azmi, Azmirul"
"Azmi, Azmizi"
"Azmi, Azrul"
"Azmi, Mohd Badrul Hisyam"
"Azmi, Mohd Nazrin"
"Azmi, Mohd Nazrul"
"Azmi, Mohd Shukor"
"Azmi, Mohd Syafiq"
"Azmi, Muhamad"
"Azmi, Muhd Afiq"
"Azmi, Muhd Aisamuddin"
"Azmi, Muhd Farid"
"Azmi, Muhd Firdaus"
"Azmi, Muhd Syazwan Asyraf"
"Azmi, Nazrin Aiman"
"Azmi, Nur Halis"
"Azmi, Rizal"
"Azmy, Aliff"
"Aznan, Amirul Azahan"
"Aznan, Muhd Aiedil Shafiq"
"Azohar, Muhd Khairul Ridhwan"
"Azri, Fazrian Shah"
"Azri, Furqan"
"Azry, Muhd Alif Syazwan"
"Azuan, Muhd Afiq"
"Azuan, Muhd Akmal"
"Azuan, Muhd Amir Hassan"
"Azuhar, Mohd Hafizuddin"
"Azuhar, Muhd Hafizal"
"Azwadi, Amir Zikri"
"Azzahari, Muhd Syahmin"
"B. Jeevakumaran"
"B. Murugan"
"B. Puvaneswaran"
"B. Sanjef Dinesh"
"B. Thinagaran"
"Bacok, Ummareng"
"Bada, Tommy"
"Badeli, Amir Saiful"
"Badri Shah, Muhd Syazmeer Shah"
"Badrul Hisham, Mohd Azrif Nasrulhaq"
"Badrul, Fakhri Syahmi"
"Bahari, Muhd Akhir"
"Bahari, Muhd Alif"
"Baharin, Mohd Jibrail Kamaron"
"Baharom, Mohd Nasriq"
"Baharom, Muhd Danial"
"Baharuddin, Mohd Fazli"
"Baharuddin, Mohd Syamin"
"Baharuddin, Muhd Azizul"
"Baharuddin, Muhd Syaiful Haziq"
"Baharudin, Mohd Azmi"
"Baharudin, Safuwan"
"Baharudin, Syafiq"
"Baharun, Mohd Syukri"
"Bahtiar, Muhd Farhan"
"Bakhtiar, Baddrol"
"Bakhtiar, Muhd Irfan"
"Bakri, Ahmad Hazwan"
"Bakri, Muhd Azul Anis"
"Bakri, Osman"
"Bakri, Zaim Al-Hakim"
"Baksin, Azhar"
"Balang, Mafry"
"Balang, Melky"
"Bana, Gabriel Bajing"
"Bana, Maxwell"
"Bartholomeuz, Jerry"
"Barudin, Ridhuan"
"Basalie, Muhd Azrie"
"Basharudin, Mohd Nasir"
"Bashir, Syukri"
"Basir, Mohd Saiful"
"Basri, Farizal"
"Basri, Firdaus"
"Basri, Mohd Fathurrahman Nizam"
"Basri, Muhd Amirul Hafiz"
"Basu, Jayanta"
"Basumatary, Karan"
"Batuil, Ranilson"
"Batuil, Rawilson"
"Bazree, Muhd Fakhrul Izzam"
"Bell, Cameron"
"Benedict Sim"
"Bennett, Daniel"
"Biai, Philip"
"Bidin, Abdullah"
"Bidin, Muhd Nasrullah"
"Bidin, Sazali"
"Billyton Vun"
"Bohri, Nazarudin"
"Bokhari, Muhd Ikhwan"
"Bokhari, Nabil Hakim"
"Bolhi, Amirrul Iqmal"
"Bone, Sam"
"Bongsu, Mohd Rosli"
"Bose, Mohan"
"Boskori, Muhd Aiman Naief"
"Brandon Koh"
"Brendan Gan"
"Brown, Peter"
"Bryan Quek"
"Bryan Tan"
"Buhari, Ahmad"
"Buhari, Syazwan"
"Bunari, Muhd Nurzaidi"
"Bungkilan, O'Neil"
"Burhan, Khairul"
"Burhan, Mohd Faiz"
"Burhan, Mohd Izzat"
"Busrah, Mohd Syazwan"
"Bustaman, Muhd Hafizuddin"
"C. Sasikumar"
"C. Suwarnaraj"
"C. Vasuthevan"
"Carvalho, David"
"Chai, Yong Kai"
"Chakraborty, Abdul"
"Chan, Cheong Keat"
"Chandran, Sunil Caven"
"Che Ali, Mohd Adli Zaim"
"Che Ani, Muhd Adib"
"Che Anuar, Muhd Afiq Afnan"
"Che Awang, Mahathir"
"Che Awang, Mohd Firdaus"
"Che Awang, Muhd Nur Izzat"
"Che Aziz, Muhd Rizal"
"Che Darus, Maulana Muhamad"
"Che Halim, Che Rashid"
"Che Halim, Mohd Hasrul"
"Che Hamid, Muhd Hadzirun"
"Che Hashim, Mahadi"
"Che Hashim, Nazirul Naim"
"Che Hassan, Che Mohd Safwan Hazman"
"Che Hassan, Muhd Fitri"
"Che Hassan, Shahrin"
"Che Hat, Mohd Yusuf"
"Che Hishamuddin"
"Che Juhan, Che Khairul Syafiq"
"Che Kamarudin, Che Mohd Arif"
"Che Kassim, Mohd Ifwat Akmal"
"Che Mat Razali, Cik Mohd Asmadi"
"Che Mat, Khairul Fahmie"
"Che Mazelan, Che Muhd Syazwan Syafiq"
"Che Mohd Zin, Muhd Waie Mubin"
"Che Ngah, Mohd Nasaruddin"
"Che Normizi, Muhd Hafiezal"
"Che Ramli, Muhd Yusri"
"Che Ros, Mohd Remezey"
"Che Sobar, Mohd Nizar Adha"
"Che Soh, Mohd Amirul Shafik"
"Che Soh, Mohd Fikri"
"Che Soh, Mohd Khairul Rizam"
"Che Zambil, Muhd Daniel Aiman"
"Chee Saad, Yusaini Hafiz"
"Chew, Vi Liong"
"Chia, Joo Thiam"
"Chin, Zhuanwen"
"Chong Ka Hui"
"Chowdhury, Biplab"
"Chua, Piin Hang"
"Chua, Soon Chit"
"Chuchu, Ashri"
"Chuchu, Azman"
"Colaco, Sumit"
"Colaco, Vincent"
"Cools, Dion"
"Corbin-Ong, La'Vere"
"Coutinho, Kishan"
"Coutinho, Ranjit"
"D. Christie Jayaselan"
"D. Kenny Pallraj"
"D. Kugan"
"D. Resvinnie"
